2026-01-18 08:39:04|patodiego628@gmail.com|Correo
2026-01-18 08:39:30|patodiego628@gmail.com|[Reclamo] Tesis de Grado - Ref:3342 (Usuario:1)
2026-01-18 08:39:34|diegoprueba628@gmail.com|[Solicitud] Matrícula Extemporánea - Ref:369D (Usuario:4)
2026-01-18 08:39:39|diegoprueba628@gmail.com|[Pregunta] Matrícula Extemporánea - Ref:B48D (Usuario:3)
2026-01-18 08:39:44|diegoprueba628@gmail.com|[Justificativo] Reserva Auditorio - Ref:76EC (Usuario:10)
2026-01-18 08:39:51|patodiego628@gmail.com|[Urgente] Falta de Asistencia - Ref:15D1 (Usuario:9)
2026-01-18 08:39:54|diegoprueba628@gmail.com|[Solicitud] Tesis de Grado - Ref:31CD (Usuario:6)
2026-01-18 08:39:58|diegoprueba628@gmail.com|[Reclamo] Matrícula Extemporánea - Ref:14C3 (Usuario:8)
2026-01-18 08:40:02|diegoprueba628@gmail.com|[Solicitud] Acceso a Laboratorio - Ref:F7D3 (Usuario:7)
2026-01-18 08:40:07|patodiego628@gmail.com|[Informe] Falta de Asistencia - Ref:3113 (Usuario:2)
2026-01-18 08:40:11|patodiego628@gmail.com|[Reclamo] Notas Finales - Ref:3DC3 (Usuario:5)
2026-01-18 08:48:14|diegoprueba628@gmail.com|[Justificativo] Tesis de Grado - Ref:AC4E (Usuario:4)
2026-01-18 08:48:19|patodiego628@gmail.com|[Urgente] Reserva Auditorio - Ref:E7F9 (Usuario:1)
2026-01-18 08:48:24|patodiego628@gmail.com|[Urgente] Matrícula Extemporánea - Ref:72E0 (Usuario:8)
2026-01-18 08:48:27|patodiego628@gmail.com|[Justificativo] Horario de Clases - Ref:FF95 (Usuario:9)
2026-01-18 08:48:31|patodiego628@gmail.com|[Justificativo] Reserva Auditorio - Ref:3374 (Usuario:7)
2026-01-18 08:48:35|diegoprueba628@gmail.com|[Pregunta] Acceso a Laboratorio - Ref:3EA7 (Usuario:2)
2026-01-18 08:48:39|diegoprueba628@gmail.com|[Pregunta] Notas Finales - Ref:C016 (Usuario:6)
2026-01-18 08:48:43|diegoprueba628@gmail.com|[Solicitud] Acceso a Laboratorio - Ref:BE92 (Usuario:10)
2026-01-18 08:48:47|diegoprueba628@gmail.com|[Reclamo] Reserva Auditorio - Ref:5D4B (Usuario:3)
2026-01-18 08:48:51|diegoprueba628@gmail.com|[Urgente] Falta de Asistencia - Ref:2798 (Usuario:5)
